Port,Timestamp,tput in bits per sec,bytes in last sec,packets in last sec,total bytes,total packets
33964,1702010649.015029,1148864,143608,102,143608,102
34705,1702010649.015029,0,0,0,0,0
22603,1702010649.015029,1137496,142187,101,142187,101
56076,1702010649.015029,1171600,146450,104,146450,104
33914,1702010649.015029,0,0,0,0,0
24673,1702010649.015029,0,0,0,0,0
41431,1702010649.015029,1079808,134976,95,134976,95
21687,1702010649.015029,1137496,142187,101,142187,101
26446,1702010649.015029,0,0,0,0,0
63488,1702010649.015029,0,0,0,0,0
56076,1702010650.0964088,44408,5551,5,152001,109
41431,1702010650.0964088,212840,26605,19,161581,114
